topology,seed,norm,lambda2,h_cog,h_cont,mean_v,std_v,frac_bin0,u_mean
BA m=8,99,uniform,5.694152958490871,-0.0,2.4740234330027495,-2.394299018643255,0.19660837540684553,1.0,1.0
BA m=8,99,degree_linear,5.694152958490871,-0.0,2.4758737919761664,-2.192128376033399,0.2536021117586602,1.0,0.9999682496538869
BA m=8,314,uniform,5.730897234439651,-0.0,2.6554867750881495,-2.394082316456714,0.196986456343657,1.0,1.0
BA m=8,314,degree_linear,5.730897234439651,-0.0,2.4756286946050254,-2.2069199712955383,0.27997693179082656,1.0,0.9999363818803648
BA m=10,42,uniform,7.696252993949204,-0.0,2.419983641997014,-2.4192725457188566,0.1844548295889355,1.0,1.0
BA m=10,42,degree_linear,7.696252993949204,-0.0,2.4550493694601174,-2.3043901621534872,0.23928347945886025,1.0,0.9999955561724981
BA m=10,123,uniform,7.827150494815136,-0.0,2.470219313793193,-2.4168162333951706,0.18573899060631827,1.0,1.0
BA m=10,123,degree_linear,7.827150494815136,-0.0,2.3147564137060668,-2.2984730184222935,0.24000915682670287,1.0,0.9999196927428536
BA m=10,777,uniform,7.9191809093048295,-0.0,2.2757072954904536,-2.418524877401312,0.18517740576596936,1.0,1.0
BA m=10,777,degree_linear,7.9191809093048295,-0.0,2.353383831597231,-2.276098845002887,0.24857366187184038,1.0,0.9999795491496031
BA m=10,17,uniform,7.742782711059069,-0.0,2.5559365958923816,-2.42656866554159,0.185741717600297,1.0,1.0
BA m=10,17,degree_linear,7.742782711059069,-0.0,2.5194761136967396,-2.3047534544731003,0.252844893888013,1.0,0.9999874936869049
BA m=10,256,uniform,7.601080344776803,-0.0,2.300214325345756,-2.412152526289022,0.1837840995974982,1.0,1.0
BA m=10,256,degree_linear,7.601080344776803,-0.0,2.0941809431249023,-2.28950044441593,0.21311298379901367,1.0,1.0
BA m=10,1337,uniform,7.836194174471441,-0.0,2.447880086648763,-2.4305146373536908,0.18545870515340313,1.0,1.0
BA m=10,1337,degree_linear,7.836194174471441,-0.0,2.37950577919015,-2.2721067289089407,0.22837598327587644,1.0,0.9999993359932106
BA m=10,99,uniform,7.720976355089896,-0.0,2.4841059292332983,-2.4218585362294514,0.185846505157434,1.0,1.0
BA m=10,99,degree_linear,7.720976355089896,-0.0,2.2983008718614903,-2.270698818821057,0.23350605631667234,1.0,0.9999931054411627
