N,m,c,seed,lambda2,H_stable
100,7,1.0,5,5.309376446527119,2.7892626978364534
100,7,1.0,4,5.487545187271875,2.7368111131656936
100,7,1.25,0,5.311856863592098,2.7724189291544605
100,7,1.25,2,5.477476554867495,2.656864057624891
100,7,1.25,3,5.638603888793057,2.7762762960596334
100,7,1.25,4,5.627198471458136,2.6426820740921864
100,7,1.25,5,5.448682292774635,2.7933275997199574
100,7,1.25,1,5.503079833959705,2.7692955193705084
100,7,1.5,2,5.555213074594807,2.782827029066381
100,7,1.5,0,5.695440883931558,2.7946982743094986
100,7,1.5,5,5.503888215402682,2.760016387955746
100,7,1.5,1,5.592756962318328,2.814818586957747
100,7,1.5,4,5.686982863889481,2.6022606952073457
100,7,1.5,3,5.6737553980294875,2.7269805584943363
100,7,1.75,1,5.679063683222347,2.7654775587320826
100,7,1.75,3,5.69287559665648,2.805463339867457
100,7,1.75,0,5.7606291523976525,2.677880420508352
100,7,1.75,2,5.641724382527737,2.70921279897708
100,7,1.75,4,5.873031230769577,2.6749212700563954
100,7,1.75,5,5.526393683125977,2.83357299913148
100,7,2.0,1,5.75061786294773,2.8135737877467704
100,7,2.0,0,5.8438678700823985,2.769009679478558
100,7,2.0,4,5.99409394450719,2.6219739656769523
100,7,2.0,2,5.740420368711185,2.729232244400729
100,7,2.0,5,5.588712430376001,2.8112516569849633
100,7,2.0,3,5.707952384119209,2.6877128561039427
100,7,2.5,3,5.741001509693758,2.7611223917730072
100,7,2.5,0,6.15614217635866,2.6943193225586355
100,7,2.5,4,6.092460768017959,2.5572485462933554
100,7,2.5,5,6.054724937498958,2.6650739510408563
100,7,2.5,2,6.082300957893218,2.725266785991074
100,7,2.5,1,5.8668579641714445,2.8232664169817494
100,7,3.428571428571429,1,6.0898844038484485,2.6437859201060108
100,7,3.428571428571429,0,6.37684375499821,2.575012259497283
100,7,3.428571428571429,2,6.433757641771692,2.7922126977279818
100,7,3.428571428571429,3,6.136302251714295,2.6244608662780053
100,7,3.428571428571429,4,6.447750315417948,2.6067374298792942
100,7,3.428571428571429,5,6.280385909873553,2.6742829931561443
100,7,4.357142857142858,0,6.485734132145744,2.5409121593938413
100,7,4.357142857142858,3,6.420479444908572,2.532433460928438
100,7,4.357142857142858,2,6.811208302296224,2.646115032753483
100,7,4.357142857142858,1,6.2144363291721,2.491304682494859
100,7,4.357142857142858,4,6.944830584935602,2.5451300738395237
100,7,4.357142857142858,5,6.419797371152416,2.5527883048768993
100,7,5.285714285714286,2,7.214424076638528,2.61704426131919
100,7,5.285714285714286,0,6.564633470090058,2.5928143334954865
100,7,5.285714285714286,1,6.911006584178583,2.635120319475198
100,7,5.285714285714286,3,7.244891345523803,2.5222984560043082
100,7,5.285714285714286,4,7.1510763043543015,2.5779707333260617
100,7,5.285714285714286,5,6.5504277411706395,2.517188421368026
100,7,6.214285714285714,2,7.3909878693485584,2.6391194898574684
100,7,6.214285714285714,0,7.401436497538043,2.6803651941491475
100,7,6.214285714285714,4,7.607761207492498,2.622059635399812
100,7,6.214285714285714,3,8.012349127742837,2.6720251357506313
100,7,6.214285714285714,1,7.247475084646611,2.7695179281729865
100,7,7.142857142857143,1,7.9711276186105735,2.6652424603809126
100,7,7.142857142857143,2,8.079210458640304,2.4037026556342873
100,7,7.142857142857143,3,8.312984634824536,2.5705814100658424
100,7,6.214285714285714,5,7.187787150642255,2.7163311453447947
100,7,7.142857142857143,5,8.198099923218692,2.7179174283690744
100,7,7.142857142857143,4,7.916895353452373,2.7243970122912047
100,7,7.142857142857143,0,8.161036623962538,2.6871590238731984
100,7,8.071428571428571,2,8.587069761174352,2.6980091772492423
100,7,8.071428571428571,3,8.885109597473821,2.4532005794943417
100,7,8.071428571428571,1,9.126035371765523,2.8876455487182806
100,7,8.071428571428571,0,9.2356509624991,2.810711497087666
100,7,8.071428571428571,5,8.265506944092333,2.9400424470541453
100,7,8.071428571428571,4,8.35112681940994,2.6480019003749273
100,7,9.0,3,9.250108142764272,2.6653959591924523
100,7,9.0,0,9.60734562576953,2.983466033148451
100,7,9.0,1,10.01607449192238,3.6721772079222927
100,7,9.0,2,9.242007656347441,3.098242454035117
100,7,9.0,4,9.66084987513213,3.1002303027300036
100,7,9.0,5,8.969704845070297,2.9097292470643406
200,1,3.428571428571429,0,0.6311146153357972,4.668678209110371
200,1,2.5,5,0.5327010806828195,4.914778065978544
200,1,3.428571428571429,3,0.727428736528537,4.377394493342076
200,1,3.428571428571429,2,0.5377950923290938,4.665542138062219
200,1,3.428571428571429,5,0.7442923364726951,4.682122724986351
