m,direction,graph_seed,dyn_seed,k_harm_in,k_harm_out,n_deaf_in,h_cont,h_cog,sync
5,UNDIRECTED,1,777,nan,nan,0,3.2088593091731092,0.0,-2.7477245713744657e-05
5,UNDIRECTED,1,17,nan,nan,0,3.240531915646012,0.0,-0.003094058079835121
5,UNDIRECTED,1,256,nan,nan,0,3.1624480580689363,0.0,-0.011587833891340141
5,RANDOM,1,42,3.1346391720293734,3.0181996787337666,0,3.4844900003795747,0.0,0.01171579696609228
5,RANDOM,1,123,3.1346391720293734,3.0181996787337666,0,3.472714570317946,0.0,0.0009129797565271882
5,RANDOM,1,777,3.1346391720293734,3.0181996787337666,0,3.422277911134813,0.0,0.02235229662799235
5,RANDOM,1,17,3.1346391720293734,3.0181996787337666,0,3.417988620536491,0.0,0.034218193169570935
5,RANDOM,1,256,3.1346391720293734,3.0181996787337666,0,3.373815499360362,0.0,0.012878385339256887
5,HUBS_LISTEN,1,42,2.6350733119457925,4.46896551724138,31,3.80915028020443,0.11005097234617939,0.019870732721494404
5,HUBS_LISTEN,1,123,2.6350733119457925,4.46896551724138,31,3.7856614786623544,0.10704878886628119,0.06997525391237817
5,HUBS_LISTEN,1,777,2.6350733119457925,4.46896551724138,31,3.775356761144333,0.12129606055020506,0.0933872947100306
5,HUBS_LISTEN,1,17,2.6350733119457925,4.46896551724138,31,3.7373603922824916,0.05860559580145902,0.07716138384645305
5,HUBS_LISTEN,1,256,2.6350733119457925,4.46896551724138,31,3.7622018048901733,0.10317895889797356,0.0708812040755322
5,HUBS_BROADCAST,1,42,4.480522979113163,2.385066416370722,1,3.3033743997028013,0.0,0.01630127125844449
5,HUBS_BROADCAST,1,123,4.480522979113163,2.385066416370722,1,3.361980192625117,0.0,0.009417597852336613
5,HUBS_BROADCAST,1,777,4.480522979113163,2.385066416370722,1,3.406388492610782,0.0,0.008143790481774221
5,HUBS_BROADCAST,1,17,4.480522979113163,2.385066416370722,1,3.25501680639151,0.0,0.0009341641011306258
5,HUBS_BROADCAST,1,256,4.480522979113163,2.385066416370722,1,3.3543712866429063,0.0,0.02592692002413221
5,UNDIRECTED,2,42,nan,nan,0,3.192600583697533,0.0,0.0014555803928926743
5,UNDIRECTED,2,123,nan,nan,0,3.273611721266514,0.0,-0.0027632993398054796
5,UNDIRECTED,2,777,nan,nan,0,3.2340635388638734,0.0,0.00010302129768208279
5,UNDIRECTED,2,17,nan,nan,0,3.271207702492183,0.0,0.0006847665023034686
5,UNDIRECTED,2,256,nan,nan,0,3.31046679055644,0.0,0.007969016022657942
5,RANDOM,2,42,3.160885447676082,3.1274708395655693,0,3.469878866130783,0.0,-0.0030398786981037586
5,RANDOM,2,123,3.160885447676082,3.1274708395655693,0,3.475585593515573,0.0,0.02457113163468048
5,RANDOM,2,777,3.160885447676082,3.1274708395655693,0,3.433754894702417,0.0,0.016352767633707462
5,RANDOM,2,17,3.160885447676082,3.1274708395655693,0,3.403616210656671,0.0,0.015881327940829117
5,RANDOM,2,256,3.160885447676082,3.1274708395655693,0,3.53880919128899,0.0,0.04764981574031303
5,HUBS_LISTEN,2,42,2.4007226500245227,4.584343991179713,29,3.7222858294616903,0.07968662218720451,0.04808785297068575
5,HUBS_LISTEN,2,123,2.4007226500245227,4.584343991179713,29,3.7370856319854067,0.09252997859913269,0.06923611307300744
5,HUBS_LISTEN,2,777,2.4007226500245227,4.584343991179713,29,3.8371414334565412,0.15716568318778493,0.08501461065618048
5,HUBS_LISTEN,2,17,2.4007226500245227,4.584343991179713,29,3.7844567582346404,0.06401927312315352,0.058071578505193545
5,HUBS_LISTEN,2,256,2.4007226500245227,4.584343991179713,29,3.7857341514113876,0.10082638398536714,0.05040901857998376
5,HUBS_BROADCAST,2,42,4.552970161511087,2.4147048761048446,1,3.5218060954678636,0.0,-0.002733811918217402
5,HUBS_BROADCAST,2,123,4.552970161511087,2.4147048761048446,1,3.2833211699963742,0.0,0.01661434904365598
5,HUBS_BROADCAST,2,777,4.552970161511087,2.4147048761048446,1,3.380623794997423,0.0,0.008906095340698516
