readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,7,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,8,-1,3987,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,8,-1,4079,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,8,-1,4433,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,8,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,9,-1,4122,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,9,-1,4194,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,9,-1,4188,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,9,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,10,1,4235,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,10,1,4091,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,10,1,3936,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,10,1,3378,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,11,-1,4629,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,11,-1,4882,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,11,-1,5468,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,11,-1,7259,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,0,-1,5850,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,0,-1,5624,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,0,-1,6917,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,0,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,1,-1,5535,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,1,-1,5603,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,1,-1,9001,0
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,1,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,2,1,6213,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,2,1,6276,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,2,1,7588,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,2,1,4743,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,3,-1,5760,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,3,-1,5902,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,3,-1,6163,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,3,-1,7375,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,4,1,5617,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,4,1,5538,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,4,1,5411,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,4,1,3404,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,5,-1,5375,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,5,-1,5448,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,5,-1,5151,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,5,-1,6558,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,6,-1,5637,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,6,-1,5456,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,6,-1,5323,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,6,-1,8237,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,7,-1,5854,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,7,-1,5609,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,7,-1,5644,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,7,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,8,-1,5396,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,8,-1,5582,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,8,-1,5574,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,8,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,9,-1,5712,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,9,-1,5750,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,9,-1,5852,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,9,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,10,1,5880,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,10,1,5932,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,10,1,5706,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,10,1,5418,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,4500,11,-1,5868,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,4500,11,-1,5887,1
L2_REF_NON_STIM,STNO_FROZEN_U,4500,11,-1,6025,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,4500,11,-1,7348,1
