N,m,D,seed,lambda2,H_cont,synchrony,u_mean
100,9,0.15,8,6.69694057199457,2.692364518446878,-0.004930337195400234,0.9999732240367766
100,9,0.15,9,6.938858415512432,2.6404089956070456,0.002932298099506357,0.9999513607564162
100,10,0.0,0,7.656906253373409,4.658023004858627,0.06678149601807117,0.04999999999999999
100,10,0.0,1,7.624422401632088,4.716264499447463,0.09439392062389998,0.04999999999999999
100,10,0.0,2,7.558004979488511,4.737304740840826,0.060796135890473814,0.04999999999999999
100,10,0.0,3,7.737983570047357,4.805722189481393,0.06420910529278123,0.04999999999999999
100,10,0.0,4,7.6978311064635925,4.8345233776207195,0.060634997435836675,0.04999999999999999
100,10,0.0,5,7.489848831183319,4.74880125573908,0.10211465012307908,0.04999999999999999
100,10,0.0,6,7.8901646105648515,4.760576231988139,0.11418373341163122,0.04999999999999999
100,10,0.0,7,7.834117285549118,4.803816366785168,0.06554056586034622,0.04999999999999999
100,10,0.0,8,7.651653927405178,4.64888893658463,0.08290128164234074,0.04999999999999999
100,10,0.0,9,7.5147587595138,4.781351500786502,0.057473450489209085,0.04999999999999999
100,10,0.15,0,7.656906253373409,2.6594553658058406,-0.0030594526784354765,0.9999904956624213
100,10,0.15,1,7.624422401632088,2.4968566071393807,-0.0043976045737177194,0.9999943457552434
100,10,0.15,2,7.558004979488511,2.4593766467506857,-0.0038816690302005633,0.9999719789708014
100,10,0.15,3,7.737983570047357,2.5887877464368017,-0.0032911435584044146,0.9999801267908595
100,10,0.15,4,7.6978311064635925,2.483344679199144,-0.005766657836625091,0.9999949586511984
100,10,0.15,5,7.489848831183319,2.5242833001310756,-0.005431709877640983,0.9999861020557131
100,10,0.15,6,7.8901646105648515,2.5614684695404595,-0.004765799913754601,0.9999841608934844
100,10,0.15,7,7.834117285549118,2.417389374613392,-0.0027427675603976572,0.9999948760887426
100,10,0.15,8,7.651653927405178,2.5740496970233036,-0.004757450694004592,0.9999971295901858
100,10,0.15,9,7.5147587595138,2.495364431000408,0.0013973347331057923,0.9999929073976642
