topology,n_nonlin,condition,gain_u,seed,R_mean,R_std,p_mean,u_mean,u_max
BA_m3,0.0,FULL,1.0,314,0.5894824727270375,0.044340590794866415,0.08289637696529983,0.061579518948015576,0.07006509784954201
BA_m3,0.0,FULL,1.0,2024,0.6947928502111965,0.039697919604448566,0.07883408055033743,0.060955938742402876,0.06926115778986076
BA_m3,0.0,FULL,1.0,888,0.6817120127690963,0.07874421846683129,0.08481979358715003,0.060146722708596875,0.06819875668969877
BA_m3,0.0,FULL,2.0,42,0.6897767577689508,0.03217866547606423,0.10666047420548791,0.07991991429833549,0.10151189724321923
BA_m3,0.0,FULL,2.0,123,0.38042755042523446,0.10910550087057887,0.037440821750579945,0.07250718224617636,0.08690818028602391
BA_m3,0.0,FULL,2.0,777,0.6282592923064619,0.08143285785372778,0.09043137955905407,0.07814137077146413,0.09954230337517721
BA_m3,0.0,FULL,2.0,17,0.644177167677436,0.08517883342733854,0.07222534797675888,0.07263658651485144,0.09296915249448139
BA_m3,0.0,FULL,2.0,256,0.5780829045880398,0.024521544852357146,0.08870073603973057,0.07744008205865209,0.09740151759974697
BA_m3,0.0,FULL,2.0,1337,0.4875858652971998,0.11606459663138864,0.06585745734407138,0.07634360920048443,0.09576287052172354
BA_m3,0.0,FULL,2.0,99,0.6625874605644335,0.0247132303154983,0.08551641724556065,0.07731078956484455,0.0975691156657368
BA_m3,0.0,FULL,2.0,314,0.5730032891168771,0.05743088655888907,0.08156752897737814,0.07849018761690761,0.1000039673131242
BA_m3,0.0,FULL,2.0,2024,0.6808578111958932,0.048696301311785796,0.07745120227379729,0.07674633334936053,0.09767114146654152
BA_m3,0.0,FULL,2.0,888,0.6730148753642086,0.07649516919207425,0.08382300098299038,0.07463335658624802,0.09514730305200678
BA_m3,0.0,FULL,3.0,42,0.6657603085512568,0.049721768533600795,0.10390533696464557,0.10401805152786149,0.14437919289114354
BA_m3,0.0,FULL,3.0,123,0.3570118701251696,0.10166748234958578,0.03720115125920632,0.08931840459939554,0.11481473287399488
BA_m3,0.0,FULL,3.0,777,0.604759182323661,0.10024782487516996,0.08847154721856479,0.10037366937610061,0.13971457863975867
BA_m3,0.0,FULL,3.0,17,0.6344944226308846,0.08512394692169443,0.07156417643346674,0.08992875806246424,0.12717349945272666
BA_m3,0.0,FULL,3.0,256,0.5605139680001939,0.03422432000748232,0.08729819273006156,0.09893961164587907,0.13569170050039553
BA_m3,0.0,FULL,3.0,1337,0.46345198921732517,0.13449847938381929,0.06471786064231592,0.09666475600499522,0.131712268341802
BA_m3,0.0,FULL,3.0,99,0.6427771465484375,0.030867496202042998,0.08353046782832828,0.09859554593691051,0.13567458299208435
BA_m3,0.0,FULL,3.0,314,0.5452668176950117,0.08153276627791757,0.07958544900716294,0.1010386670626053,0.1407019801246976
BA_m3,0.0,FULL,3.0,2024,0.6568928042091644,0.06835163696468528,0.07538164074421892,0.09754835027362165,0.13568750081656789
BA_m3,0.0,FULL,3.0,888,0.6584564983599882,0.07307303838930752,0.0822747454794086,0.09365612571475222,0.1315312854010996
BA_m3,0.0,FULL,5.0,42,0.5602650066085112,0.1264353984763423,0.09869042690714042,0.17855159237760107,0.2972035653557239
BA_m3,0.0,FULL,5.0,123,0.2853845440044369,0.08907021631146926,0.0376760736257139,0.13556759721010483,0.1940338618544894
BA_m3,0.0,FULL,5.0,777,0.4978052821809793,0.19484149288982422,0.08383478022759928,0.16586372937747387,0.2694666707887182
BA_m3,0.0,FULL,5.0,17,0.5940793383101228,0.09627724771916059,0.0696256089891623,0.13878628077404487,0.23018882833094204
BA_m3,0.0,FULL,5.0,256,0.48476663294445366,0.09028901248510103,0.08325315129643444,0.16195666918906576,0.2597181906274262
BA_m3,0.0,FULL,5.0,1337,0.3954704447407173,0.1764173001893268,0.06272690956705722,0.15417838030058728,0.23856220027860808
BA_m3,0.0,FULL,5.0,99,0.5417405674525252,0.11312274370678908,0.07732574238848831,0.16037396423793507,0.25593367680579393
BA_m3,0.0,FULL,5.0,314,0.42991830725343605,0.1845128571659814,0.07626466823966226,0.16839405569101734,0.2744072179183449
BA_m3,0.0,FULL,5.0,2024,0.540646153107637,0.18112566498325763,0.07043666222418975,0.15718150776912793,0.2513345417951083
BA_m3,0.0,FULL,5.0,888,0.5796938666540523,0.09578054404798657,0.07694232425071768,0.1483452593736772,0.24619298793558347
