bras,t_pulse,seed,dstar,flip_time,flip_ok,u_mean,u_filter_mean,reglage_filtre,reglage_u
B3c_FIXE_COUPLAGE_LOCAL,1500,3,-1,2177,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,4,1,2226,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,5,-1,2168,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,6,-1,2164,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,7,-1,2197,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,8,-1,2215,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,9,-1,2190,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,10,1,2208,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,11,-1,2247,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,3000,0,-1,3798,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,1,-1,3757,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,2,1,3802,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,3,-1,3832,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,4,1,3760,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,5,-1,3809,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,6,-1,3775,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,7,-1,3791,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,8,-1,3774,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,9,-1,3748,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
