config,topo,m,i_stim,seed,node,degree,lz_full,lz_tail
FULL,ba_m3_functional,3,0.0,1,21,7,0.9874582428595058,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,22,11,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,23,6,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,24,5,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,25,9,0.8777406603195607,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,26,2,0.9600288472245195,2.07627289683196
FULL,ba_m3_functional,3,0.0,1,27,4,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,28,10,0.8777406603195607,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,29,10,0.9600288472245195,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,30,1,1.097175825399451,1.8271201492121252
FULL,ba_m3_functional,3,0.0,1,31,5,0.9325994515895332,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,32,7,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,33,7,0.9325994515895332,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,34,5,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,35,8,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,36,5,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,37,9,0.8503112646845744,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,38,7,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,39,1,1.097175825399451,1.5779674015922898
FULL,ba_m3_functional,3,0.0,1,40,4,0.8503112646845744,1.5779674015922898
FULL,ba_m3_functional,3,0.0,1,41,4,0.9874582428595058,1.3288146539724546
FULL,ba_m3_functional,3,0.0,1,42,3,0.8777406603195607,1.411865569845733
FULL,ba_m3_functional,3,0.0,1,43,14,0.8777406603195607,1.1627128222258978
FULL,ba_m3_functional,3,0.0,1,44,1,1.0423170341294783,1.411865569845733
FULL,ba_m3_functional,3,0.0,1,45,1,1.097175825399451,1.6610183174655682
FULL,ba_m3_functional,3,0.0,1,46,4,0.9325994515895332,1.6610183174655682
FULL,ba_m3_functional,3,0.0,1,47,5,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,48,3,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,49,4,0.9600288472245195,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,50,1,1.097175825399451,1.9101710650854034
FULL,ba_m3_functional,3,0.0,1,51,5,0.9874582428595058,1.5779674015922898
FULL,ba_m3_functional,3,0.0,1,52,5,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,53,4,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,54,11,0.9600288472245195,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,55,6,0.8777406603195607,1.0796619063526194
FULL,ba_m3_functional,3,0.0,1,56,5,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,57,5,0.8777406603195607,1.3288146539724546
FULL,ba_m3_functional,3,0.0,1,58,2,1.097175825399451,1.4949164857190111
FULL,ba_m3_functional,3,0.0,1,59,6,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,60,3,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,61,3,0.9600288472245195,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,62,4,0.9600288472245195,1.4949164857190111
FULL,ba_m3_functional,3,0.0,1,63,4,0.8777406603195607,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,64,8,0.8777406603195607,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,65,6,0.9325994515895332,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,66,1,0.9600288472245195,1.6610183174655682
FULL,ba_m3_functional,3,0.0,1,67,2,1.014887638494492,1.6610183174655682
FULL,ba_m3_functional,3,0.0,1,68,3,0.9325994515895332,1.3288146539724546
FULL,ba_m3_functional,3,0.0,1,69,7,0.8777406603195607,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,70,6,1.0697464297644645,1.3288146539724546
FULL,ba_m3_functional,3,0.0,1,71,1,1.1246052210344373,1.5779674015922898
FULL,ba_m3_functional,3,0.0,1,72,4,0.8777406603195607,1.411865569845733
FULL,ba_m3_functional,3,0.0,1,73,6,0.9051700559545469,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,74,1,1.0697464297644645,1.5779674015922898
FULL,ba_m3_functional,3,0.0,1,75,8,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,76,5,0.8777406603195607,1.4949164857190111
FULL,ba_m3_functional,3,0.0,1,77,9,1.0697464297644645,1.4949164857190111
FULL,ba_m3_functional,3,0.0,1,78,1,1.0423170341294783,1.6610183174655682
FULL,ba_m3_functional,3,0.0,1,79,5,0.9325994515895332,1.0796619063526194
FULL,ba_m3_functional,3,0.0,1,80,1,1.0423170341294783,1.4949164857190111
FULL,ba_m3_functional,3,0.0,1,81,5,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,82,2,1.097175825399451,1.5779674015922898
FULL,ba_m3_functional,3,0.0,1,83,6,0.9874582428595058,1.3288146539724546
FULL,ba_m3_functional,3,0.0,1,84,5,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,85,2,0.9874582428595058,1.6610183174655682
FULL,ba_m3_functional,3,0.0,1,86,6,0.9874582428595058,1.3288146539724546
FULL,ba_m3_functional,3,0.0,1,87,9,1.014887638494492,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,88,3,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,89,4,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,1,90,2,0.9325994515895332,1.6610183174655682
FULL,ba_m3_functional,3,0.0,1,91,1,0.9874582428595058,1.4949164857190111
FULL,ba_m3_functional,3,0.0,1,92,1,1.1246052210344373,1.4949164857190111
FULL,ba_m3_functional,3,0.0,1,93,6,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,1,94,5,0.713164286509643,1.411865569845733
FULL,ba_m3_functional,3,0.0,1,95,3,0.9325994515895332,1.245763738099176
FULL,ba_m3_functional,3,0.0,1,96,4,0.8777406603195607,1.3288146539724546
FULL,ba_m3_functional,3,0.0,1,97,3,1.0697464297644645,1.6610183174655682
FULL,ba_m3_functional,3,0.0,1,98,1,1.097175825399451,2.242374728578517
FULL,ba_m3_functional,3,0.0,1,99,4,0.8777406603195607,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,0,19,0.9600288472245195,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,1,24,0.8777406603195607,1.245763738099176
FULL,ba_m3_functional,3,0.0,2,2,22,0.8228818690495882,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,3,33,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,4,15,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,5,5,0.9325994515895332,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,6,15,0.9874582428595058,1.411865569845733
