budget_lvl,mode,family,label,oracle,c_doubt,c_conv,alloc,correct
0.75,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,172,114,1172.8541666666667,0
0.75,UNIFORME,TOPOLOGIE,TOPO(ring),1,171,88,1172.8541666666667,1
0.75,UNIFORME,EVIDENCE,EVID(n=3,E=0.42),2000,160,81,1172.8541666666667,0
0.75,UNIFORME,TOPOLOGIE,TOPO(ba),873,1466,140,1172.8541666666667,1
0.75,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,180,114,1172.8541666666667,0
0.75,UNIFORME,TOPOLOGIE,TOPO(ba),1,179,81,1172.8541666666667,1
0.75,UNIFORME,EVIDENCE,EVID(n=2,E=0.44),1986,169,94,1172.8541666666667,0
0.75,UNIFORME,TOPOLOGIE,TOPO(ba),1,186,121,1172.8541666666667,1
0.75,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,178,141,1172.8541666666667,1
0.75,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,280,156,1172.8541666666667,0
0.75,UNIFORME,EVIDENCE,EVID(n=1,E=0.31),1987,172,81,1172.8541666666667,1
0.75,CONVERGENCE,EVIDENCE,EVID(n=1,E=0.42),1669,161,81,81,1
0.75,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,172,114,114,1
0.75,CONVERGENCE,TOPOLOGIE,TOPO(ring),1,171,88,88,1
0.75,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.42),2000,160,81,81,1
0.75,CONVERGENCE,TOPOLOGIE,TOPO(ba),873,1466,140,140,1
0.75,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,180,114,114,1
0.75,CONVERGENCE,TOPOLOGIE,TOPO(ba),1,179,81,81,1
0.75,CONVERGENCE,EVIDENCE,EVID(n=2,E=0.44),1986,169,94,94,1
0.75,CONVERGENCE,TOPOLOGIE,TOPO(ba),1,186,121,121,1
0.75,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,178,141,141,1
0.75,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,280,156,156,1
0.75,CONVERGENCE,EVIDENCE,EVID(n=1,E=0.31),1987,172,81,81,1
0.75,DOUTE,EVIDENCE,EVID(n=2,E=0.27),1485,162,81,162,1
0.75,DOUTE,CONTRADICTION,CONTRA(+5/-4),2000,466,190,466,0
0.75,DOUTE,TOPOLOGIE,TOPO(ba),1717,2000,133,2000,1
0.75,DOUTE,EVIDENCE,EVID(n=2,E=0.47),1197,158,81,158,1
0.75,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,168,134,168,1
0.75,DOUTE,TOPOLOGIE,TOPO(ba),2000,2000,81,2000,0
0.75,DOUTE,CONTRADICTION,CONTRA(+4/-3),1449,312,113,312,1
0.75,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,165,81,165,1
0.75,DOUTE,TOPOLOGIE,TOPO(ba),1057,2000,81,2000,1
0.75,DOUTE,TOPOLOGIE,TOPO(ring),2000,265,111,265,1
0.75,DOUTE,EVIDENCE,EVID(n=3,E=0.49),2000,157,81,157,1
0.75,DOUTE,EVIDENCE,EVID(n=3,E=0.47),1646,157,81,157,1
0.75,UNIFORME,EVIDENCE,EVID(n=2,E=0.27),1485,162,81,1172.8541666666667,0
0.75,UNIFORME,CONTRADICTION,CONTRA(+5/-4),2000,466,190,1172.8541666666667,1
0.75,UNIFORME,TOPOLOGIE,TOPO(ba),1717,2000,133,1172.8541666666667,0
0.75,UNIFORME,EVIDENCE,EVID(n=2,E=0.47),1197,158,81,1172.8541666666667,0
0.75,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,168,134,1172.8541666666667,0
