m,rule,graph_seed,dyn_seed,cpu_time_s,cpu_energy_J,stno_time_s,stno_energy_J,gst_time_s,gst_energy_J,nbo2_time_s,nbo2_energy_J,h_cont,h_cog,sync
3,HUBS_LISTEN,2,123,0.8235144000063883,53.52843600041524,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.283651333155881,0.49498697823775045,0.02249817911153663
3,HUBS_LISTEN,2,777,0.8284596999947098,53.84988049965614,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.319234754959353,0.5589271515412828,0.07151324520005943
3,HUBS_LISTEN,3,42,0.854298900005233,55.529428500340146,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.142064689003202,0.4594604364390787,0.036167090981681124
3,HUBS_LISTEN,3,123,0.7921682000014698,51.49093300009554,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.21274863969545,0.5271156143711048,0.05250659823323521
3,HUBS_LISTEN,3,777,0.8232236999974702,53.509540499835566,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.191925787553353,0.4824233968078265,0.060554458652892655
3,HUBS_BROADCAST,1,42,0.9047002000006614,58.80551300004299,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.682561112352488,0.11060227318930753,0.05544854330718972
3,HUBS_BROADCAST,1,123,0.9251828999986174,60.13688849991013,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.718884639082529,0.18051190554531096,0.011565238420400319
3,HUBS_BROADCAST,1,777,0.9564354999965872,62.168307499778166,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.933465881867627,0.3206307818272549,0.014437417684306194
3,HUBS_BROADCAST,2,42,0.9506412999980967,61.79168449987628,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.810808028881967,0.2661396673850341,0.007944830304543567
3,HUBS_BROADCAST,2,123,0.9271302000051946,60.26346300033765,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.766878800136989,0.298292527816058,0.012099621794181378
3,HUBS_BROADCAST,2,777,0.9392654000039329,61.05225100025564,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.7417935361195043,0.21254255767643354,0.06397866387703739
3,HUBS_BROADCAST,3,42,0.9193414999972447,59.757197499820904,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.7155769702239114,0.1730772655688397,0.04043780827447218
3,HUBS_BROADCAST,3,123,0.9126594000044861,59.322861000291596,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.914963721978365,0.2948249222467789,0.007567737082833144
