readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,8,-1,2212,1
L0_JUMELLE,STNO_FROZEN_U,1500,9,-1,2626,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,9,-1,2591,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,9,-1,3217,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,9,-1,4755,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,9,-1,4566,1
L0_JUMELLE,STNO_FROZEN_U,1500,10,1,2692,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,10,1,2684,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,10,1,2618,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,10,1,2493,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,10,1,2297,1
L0_JUMELLE,STNO_FROZEN_U,1500,11,-1,2728,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,11,-1,2877,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,11,-1,2509,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,11,-1,3597,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,11,-1,3127,1
L0_JUMELLE,STNO_FROZEN_U,3000,0,-1,4264,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,0,-1,4104,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,0,-1,4473,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,0,-1,5453,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,0,-1,4892,1
L0_JUMELLE,STNO_FROZEN_U,3000,1,-1,4139,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,1,-1,4390,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,1,-1,4013,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,1,-1,3950,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,1,-1,3849,1
L0_JUMELLE,STNO_FROZEN_U,3000,2,1,4629,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,2,1,4915,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,2,1,4201,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,2,1,4057,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,2,1,4303,1
L0_JUMELLE,STNO_FROZEN_U,3000,3,-1,4424,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,3,-1,4412,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,3,-1,4577,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,3,-1,5535,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,3,-1,4831,1
L0_JUMELLE,STNO_FROZEN_U,3000,4,1,4195,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,4,1,4231,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,4,1,4023,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,4,1,3899,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,4,1,3883,1
L0_JUMELLE,STNO_FROZEN_U,3000,5,-1,3763,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,5,-1,3654,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,5,-1,5519,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,5,-1,3945,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,5,-1,3846,1
L0_JUMELLE,STNO_FROZEN_U,3000,6,-1,4117,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,6,-1,3894,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,6,-1,4572,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,6,-1,4974,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,6,-1,4495,1
L0_JUMELLE,STNO_FROZEN_U,3000,7,-1,4371,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,7,-1,4206,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,7,-1,4036,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,7,-1,4481,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,7,-1,4035,1
L0_JUMELLE,STNO_FROZEN_U,3000,8,-1,3987,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,8,-1,4079,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,8,-1,4180,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,8,-1,4407,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,8,-1,3732,1
