t_pulse,seed,dstar,t_consensus,correct_B400,conf_u_naif_B400,conf_u_inv_B400,conf_sig_B400,conf_tcons_B400,conf_stab_B400,correct_B800,conf_u_naif_B800,conf_u_inv_B800,conf_sig_B800,conf_tcons_B800,conf_stab_B800,correct_B1600,conf_u_naif_B1600,conf_u_inv_B1600,conf_sig_B1600,conf_tcons_B1600,conf_stab_B1600
700,2,1,242,0,0.43719533925354315,0.5628046607464569,0.5132592129720537,0.605,0.96,0,0.160268677876667,0.839731322123333,0.09376687394062388,0.3025,1.0,1,0.07132377610440355,0.9286762238955965,0.8704263089501771,0.15125,0.4525
700,3,-1,506,0,0.2587887157212623,0.7412112842787377,0.5770348606140745,1.0,1.0,1,0.13903643303971136,0.8609635669602886,0.8455698030203339,0.6325,0.8675,1,0.1288224929003089,0.8711775070996911,0.839501452135635,0.31625,1.0
700,4,1,195,0,0.4153191204522425,0.5846808795477575,0.6647188894627457,0.4875,0.895,0,0.15336150202257026,0.8466384979774297,0.23329784148873567,0.24375,1.0,0,0.07762580123116647,0.9223741987688335,0.8780547947101911,0.121875,1.0
700,5,-1,477,0,0.24366162381712553,0.7563383761828745,0.5956245379267533,1.0,1.0,1,0.13982679749133775,0.8601732025086622,0.8530107187615392,0.59625,0.855,0,0.12845925398959435,0.8715407460104057,0.8470641044946474,0.298125,0.745
700,6,-1,473,0,0.22367039921460607,0.7763296007853939,0.5595660965565479,1.0,1.0,1,0.11867836074962568,0.8813216392503743,0.8823841834726067,0.59125,0.8325,0,0.11912138024363594,0.8808786197563641,0.8635737582674998,0.295625,0.94
700,7,-1,478,0,0.22886626350591,0.77113373649409,0.5822113113370381,1.0,1.0,1,0.12671094118015136,0.8732890588198486,0.8692940170483584,0.5975,0.85,0,0.1321796137868091,0.8678203862131909,0.862749482482996,0.29875,1.0
700,8,-1,526,0,0.2729745383502583,0.7270254616497417,0.5047307567373627,1.0,1.0,1,0.15731272540217656,0.8426872745978234,0.8617004398386199,0.6575,0.8375,0,0.15778440724631282,0.8422155927536872,0.8678468167973352,0.32875,0.65
700,9,-1,446,0,0.27358087045228663,0.7264191295477134,0.6257657963174506,1.0,1.0,1,0.1629775073614368,0.8370224926385632,0.8470153987528444,0.5575,0.8475,0,0.15217072947827848,0.8478292705217215,0.8723398839260982,0.27875,0.775
700,10,1,234,0,0.4831629749658348,0.5168370250341652,0.5709254752355166,0.585,0.5375,0,0.2096466591204007,0.7903533408795993,0.006671967735451201,0.2925,1.0,1,0.08562323030445296,0.914376769695547,0.8556213871527538,0.14625,0.3025
700,11,-1,416,0,0.1793664896414201,0.8206335103585799,0.6902033398671263,1.0,1.0,1,0.10152090265222569,0.8984790973477743,0.900617220991559,0.52,0.865,0,0.10257392766695705,0.897426072333043,0.8568760556859729,0.26,1.0
700,12,-1,483,0,0.1673125525790673,0.8326874474209327,0.6161876699798192,1.0,1.0,1,0.0919464622528744,0.9080535377471256,0.8899243491340998,0.60375,0.8775,0,0.09210905035789485,0.9078909496421051,0.8687522321501339,0.301875,0.83
700,13,1,221,0,0.39289963966908714,0.6071003603309129,0.522433264989874,0.5525,0.6325,0,0.14902789809536798,0.850972101904632,0.18673758523883788,0.27625,1.0,1,0.07095148073564428,0.9290485192643557,0.8839191814113811,0.138125,0.53
700,14,-1,418,0,0.24446089475255295,0.755539105247447,0.6732945553679377,1.0,1.0,1,0.13901472754330546,0.8609852724566945,0.8869225568316422,0.5225,0.86,0,0.14037911790977053,0.8596208820902295,0.8522714063430721,0.26125,0.515
700,15,1,212,0,0.44320481992574823,0.5567951800742518,0.5676386631949017,0.53,0.7325,0,0.17499430373771518,0.8250056962622848,0.02988356330176134,0.265,1.0,1,0.07578496988947603,0.924215030110524,0.854623436984477,0.1325,0.4175
700,16,1,194,1,0.4915791508407046,0.5084208491592954,0.3048012079022465,0.485,0.17,0,0.19237630719819687,0.8076236928018031,0.009157558616226136,0.2425,0.68,1,0.08404807678447357,0.9159519232155264,0.8671458314767813,0.12125,0.5825
700,17,1,193,0,0.4336591658179153,0.5663408341820847,0.6189901097508235,0.4825,0.82,0,0.15909326281827607,0.8409067371817239,0.14957565218447877,0.24125,1.0,1,0.08247698181430252,0.9175230181856975,0.871867309428294,0.120625,0.34
700,18,-1,470,0,0.20673903483721545,0.7932609651627845,0.6324034904269337,1.0,1.0,1,0.12041875969733906,0.8795812403026609,0.8674389081003164,0.5875,0.8725,0,0.12183075852152725,0.8781692414784728,0.8823768784715019,0.29375,0.6425
