N,c,seed,lambda2,H_stable,U4,LZ,sync,H_cont
100,2.142857142857143,7,2.035774909808338,3.343661680225661,0.664757921604168,0.8520918845493849,0.008610257954235116,3.1361675761923737
100,2.142857142857143,10,2.2341394494829054,3.4642565338303597,0.6659337676791006,0.8254918762943548,-0.010039372191603583,3.454576564187999
100,2.142857142857143,11,2.08296031471117,3.339181442634962,0.6655087972534973,0.8128605874581677,-0.0014039833650468189,3.54700227047573
100,2.142857142857143,12,1.9832020257905598,3.299222621593305,0.6655064471259439,0.8015667292046355,0.003020176774998582,3.2937069647662782
100,2.142857142857143,14,1.892843958445782,3.348846349687393,0.6649217348645781,0.8315846156153394,-0.016893859920467675,3.2026871249274254
100,2.142857142857143,13,2.274038913494595,3.2561196718158962,0.666189236382313,0.8382717685286154,-0.007510332358419874,3.203065955397706
100,2.142857142857143,16,2.0773108554294515,3.4288766196123652,0.665167621918658,0.8257890830905009,0.00525486808723042,3.5684173440405407
100,2.142857142857143,18,2.2757473051947947,3.3803065885774406,0.6644166826385605,0.8089968991082752,0.004221876575187432,3.403120286876746
100,2.142857142857143,15,2.025737924995074,3.395249174090348,0.6660085628078782,0.8134550010504585,0.04040707729518883,3.568318994820351
100,2.142857142857143,19,2.092474471497915,3.343399809414447,0.6655569492720361,0.8118203636716582,0.0006729903792819147,3.4489616071606854
100,2.142857142857143,21,2.016812843579913,3.314299097755622,0.6650397459185013,0.8243030491097728,0.009894577405341522,3.226540518749645
100,2.142857142857143,20,2.0813759396355613,3.412030935932027,0.6656006304779414,0.834556683576796,-0.0075887527183237215,3.453569338318824
100,2.142857142857143,17,1.9671215180504287,3.201333359903364,0.6635553875606534,0.8351510971690865,0.004197888243354808,3.1915170161625266
100,2.142857142857143,22,2.321969205451037,3.3204734580889577,0.665573529592884,0.826086289886646,-0.01763587598832901,3.3924499945755513
100,2.142857142857143,23,2.0281182086118497,3.375558858705866,0.6655115940687132,0.8153868452254052,0.0058425406317810435,3.2484724158080147
100,2.142857142857143,25,2.211347922919029,3.3646440044119545,0.6651060800108441,0.8153868452254055,-0.008699409197402808,3.4081852344202566
100,2.142857142857143,24,2.3281561280604524,3.317927632161654,0.6653656257941452,0.803201366583436,-0.015259543633140173,3.3953150945671373
100,2.142857142857143,27,2.1055556190209983,3.323477438384603,0.6659349916059076,0.8152382418273326,0.007184566168818145,3.3630210395698263
100,2.142857142857143,28,2.3093696774023242,3.3431110772803585,0.6658014947303084,0.8286125476538839,0.001059597821179956,3.231497548089259
100,2.142857142857143,26,2.2545231136629402,3.262188369027439,0.6650136318826816,0.8220739981386808,-0.0048419826483304665,3.307912380881958
100,2.142857142857143,29,2.155828630183071,3.3152107381684712,0.6654108537499968,0.8281667374596657,-0.01818796335722226,3.2212009605347403
100,2.142857142857143,30,2.192892882720623,3.2360083484175024,0.6655280797882028,0.8265321000808643,0.006876533216013698,3.263746182050474
100,2.142857142857143,31,2.2080845196857886,3.4624640473258346,0.6656615445071294,0.8116717602735855,-0.008405407173147797,3.382155069552176
100,2.142857142857143,36,2.1163770169302807,3.3328725800868675,0.6657619918180293,0.8275723238673741,0.03830802528682714,3.4178171973479143
100,2.142857142857143,32,2.2510935942144146,3.196588168164132,0.6654910009052328,0.8266807034789372,-0.0030451567166778653,3.1473617309800113
100,2.142857142857143,34,1.7420339477432976,3.273496159769124,0.6657335265565063,0.8303957884307575,-0.003627839685677092,3.2528167562115895
100,2.142857142857143,33,1.9767986573471354,3.3020197087380567,0.6657691495272554,0.8369343379459602,0.011971549603260474,3.407177591516587
100,2.142857142857143,35,2.166199136553089,3.2222777262839175,0.6658092838540862,0.8186561199830067,0.017969480955545195,3.290547585380676
100,2.142857142857143,37,2.2225656333779416,3.307949648776843,0.6650750526027298,0.8244516525078452,-0.006080239238891965,3.4293558084233107
100,2.142857142857143,38,2.091010986188645,3.3618121917050128,0.6653554217781745,0.8287611510519567,0.0005041293355638139,3.2361952860928866
100,2.142857142857143,39,1.975448341565091,3.3245921090994277,0.6654432460248685,0.8220739981386808,-0.024820203577852567,3.150154729484991
100,3.2142857142857144,1,2.707410796656217,3.25752552774816,0.6659503456747593,0.8243030491097724,-0.008230609445209883,3.2963796180706106
100,3.2142857142857144,0,2.505109991480606,3.262425487373746,0.6648804090391025,0.8075108651275472,-0.027208291898948682,3.0287923138731885
100,3.2142857142857144,2,2.1206944256149773,3.152872114918284,0.6655270905115969,0.8292069612461745,0.011397081887200124,3.1640519970588237
100,3.2142857142857144,3,2.564374558732357,3.2846952113174863,0.6655324863843264,0.8091455025063483,-0.012175676904289558,3.1681020701914813
100,3.2142857142857144,4,2.49815910951654,3.1955238972522433,0.6658187171115675,0.8150896384292597,-0.004461431201278571,3.0470177507401193
100,3.2142857142857144,5,2.375779427301533,3.191465066291109,0.6652430560224067,0.8064706413410374,-0.004220050934340292,3.2762794138049776
100,3.2142857142857144,6,2.5340016462268347,3.239568283162939,0.665513838506826,0.7795734262898623,-0.007213058164300674,3.2626816671017043
100,3.2142857142857144,10,2.4538512126945053,3.2798744863754257,0.6659643384652534,0.8141980180408226,-0.011233305345688513,3.433164286417651
100,3.2142857142857144,7,2.5183563120802206,3.121867894779532,0.6653321906045275,0.8384203719266874,-0.012415787223522781,3.1336967896967436
