topo,norm,shuffle,seed,deg_min,deg_max,k_mean,k_harm,rho_main,p_intrarun_main,censored_main,tmort_med_main,rho_ctrl,p_intrarun_ctrl,censored_ctrl,tmort_med_ctrl,rho_diag,p_intrarun_diag,censored_diag,tmort_med_diag,tmort_hubs,tmort_peri,delta_hub_peri,ncomp50,ncomp50_null,big50,big50_null,pct_ncomp50,ncomp75,ncomp75_null,big75,big75_null,pct_ncomp75,group
BA m=5,uniform,0,123,5,60,9.85,7.239444890006173,-0.5334241582662016,4.212664707917054e-16,0,760.5,-0.6284030575467469,2.2548840038839418e-23,0,893.0,-0.10860417430031755,0.12581900059684847,0,77.0,623.5,905.5,-282.0,15,2.0,0.76,0.99,1.0,26,8.0,0.26,0.84,1.0,primary
BA m=5,uniform,0,777,5,59,9.85,7.193195263171308,-0.4997941294044096,4.9072178361332845e-14,0,672.0,-0.6792475063149962,2.068817575140252e-28,0,774.5,-0.1606844815959508,0.023028105324611286,0,74.0,546.5,731.5,-185.0,9,2.0,0.92,0.99,0.995,28,8.0,0.16,0.84,1.0,primary
BA m=5,uniform,0,17,5,54,9.85,7.2492617999109,-0.5907502107114967,3.335406632068042e-20,0,940.0,-0.6971267064262913,1.968019966761205e-30,0,995.0,-0.16241276937795743,0.021576384488708102,0,78.5,641.5,1011.0,-369.5,17,2.0,0.8,0.99,1.0,30,8.0,0.16,0.86,1.0,primary
BA m=5,uniform,0,256,5,62,9.85,7.281650531178043,-0.5384255384755389,1.9827762285113727e-16,0,927.0,-0.6417862489432824,1.3153730872024842e-24,0,967.0,-0.24004230079946645,0.0006179144886612075,0,79.0,611.0,991.0,-380.0,12,2.0,0.87,0.99,1.0,25,8.0,0.38,0.84,1.0,primary
BA m=5,uniform,0,8,5,46,9.85,7.310402420293635,-0.6274964265649013,2.719969626838948e-23,0,917.0,-0.693603904630032,5.05880568984088e-30,0,975.5,-0.21612691654572622,0.002113870669470749,0,80.0,641.5,1004.0,-362.5,15,2.0,0.8,0.99,1.0,25,8.0,0.22,0.84,1.0,primary
BA m=5,uniform,0,99,5,44,9.85,7.431026026440916,-0.5389715359545495,1.824799862893029e-16,0,858.0,-0.599259038228674,6.968248111858301e-21,0,935.0,-0.08078029471659666,0.2554945732609053,0,79.0,585.5,973.0,-387.5,9,2.0,0.91,0.99,1.0,17,8.0,0.56,0.84,0.925,primary
BA m=5,uniform,0,314,5,48,9.85,7.354565338915691,-0.5431090804819025,9.679057183684474e-17,0,808.0,-0.6182166903633342,1.7905381593465847e-22,0,913.5,-0.026912202030291772,0.7052233820902821,0,76.0,593.5,927.0,-333.5,11,2.0,0.9,0.99,1.0,29,8.0,0.12,0.84,1.0,primary
BA m=5,uniform,0,2718,5,60,9.85,7.180333021047985,-0.5322959826191527,4.984688700222205e-16,0,883.0,-0.644236057005624,7.699966115027211e-25,0,941.5,-0.18108532946233188,0.01028396687719587,0,78.0,600.5,969.0,-368.5,20,2.0,0.78,0.99,1.0,33,8.0,0.14,0.84,1.0,primary
BA m=5,uniform,0,1618,5,54,9.85,7.151887920363596,-0.4828006893847683,4.4848452314000433e-13,0,699.0,-0.5939941899477232,1.84611896786117e-20,0,818.5,-0.13553400797466872,0.055675742179349855,0,76.0,611.5,834.5,-223.0,8,2.0,0.93,0.99,0.99,29,8.0,0.16,0.84,1.0,primary
BA m=5,uniform,0,5001,5,47,9.85,7.386549024681974,-0.6319509749145882,1.0760528883348175e-23,0,981.0,-0.7270694298389774,3.5678271992076085e-34,0,1036.0,-0.06271231696814596,0.37767094323121386,0,79.0,653.5,1062.5,-409.0,14,2.0,0.87,0.99,1.0,24,7.0,0.26,0.86,0.995,replication
BA m=5,uniform,0,5002,5,53,9.85,7.345655027008689,-0.5303557125149042,6.647989990734037e-16,0,832.0,-0.638002943789311,2.9790664305372527e-24,0,896.5,-0.06926003971483179,0.32980029295357616,0,74.0,621.5,930.5,-309.0,4,2.0,0.97,0.99,0.835,21,7.0,0.4,0.86,1.0,replication
BA m=5,uniform,0,5003,5,58,9.85,7.179126910876374,-0.4909891950138282,1.5680028654231863e-13,0,744.5,-0.5919625845465777,2.6759589292258677e-20,0,841.5,-0.23294221415448882,0.0009019987474784538,0,75.5,590.5,845.5,-255.0,9,2.0,0.87,0.99,1.0,28,8.0,0.16,0.85,1.0,replication
