condition,seed,input_scale,k_sub,n_nonlin,nrmse,eff_rank
STNO_FROZEN_U,4,0.6,100,10.0,0.9783569575982026,55.10069123408127
STNO_DECOUPLE,4,0.1,50,0.0,0.9960176304796818,84.27100098579818
STNO_DECOUPLE,4,0.1,50,10.0,1.0014937634235963,83.33063811507749
STNO_DECOUPLE,4,0.1,100,0.0,0.9752017986492801,90.88999984308981
STNO_DECOUPLE,4,0.1,100,10.0,1.0131644741637722,89.89482596885178
STNO_DECOUPLE,4,0.3,50,0.0,0.8546397662273045,81.13165714067198
STNO_DECOUPLE,4,0.3,50,10.0,0.8555484142539294,80.35227380223023
STNO_DECOUPLE,4,0.3,100,0.0,0.8962275704438113,84.62044721975622
STNO_DECOUPLE,4,0.3,100,10.0,0.8947861257796382,82.87851497807098
STNO_DECOUPLE,4,0.6,50,0.0,0.8121382214244238,70.74270760616527
STNO_DECOUPLE,4,0.6,50,10.0,0.8478953530919672,67.66600251961033
STNO_DECOUPLE,4,0.6,100,0.0,0.841974250298864,66.72021427718677
STNO_DECOUPLE,4,0.6,100,10.0,0.8143611100023574,62.27586733058818
