topo,condition,seed,valid_frac,coverage,sharpness,consec_dist
ER_p06,WATCHDOG,12,1.0000,4,0.9975,0.2139
ER_p06,HASARD,12,0.2500,1,1.0000,0.3237
ER_p06,ATTRACTIF,12,0.5833,2,1.0000,0.4233
ER_p06,BICAMERAL,13,1.0000,2,1.0000,0.1809
ER_p06,BICAMERAL_KICK,13,1.0000,6,0.9958,0.2540
ER_p06,WATCHDOG,13,1.0000,11,0.9892,0.3275
ER_p06,HASARD,13,0.1667,1,0.9992,0.3184
ER_p06,ATTRACTIF,13,0.4167,2,0.9967,0.3418
ER_p06,BICAMERAL,14,1.0000,1,1.0000,0.1582
ER_p06,BICAMERAL_KICK,14,1.0000,5,0.9975,0.2716
ER_p06,WATCHDOG,14,1.0000,9,0.9942,0.2853
ER_p06,HASARD,14,0.4167,1,0.9983,0.3411
ER_p06,ATTRACTIF,14,0.3333,1,0.9983,0.3149
ER_p06,BICAMERAL,15,1.0000,3,0.9992,0.2182
ER_p06,BICAMERAL_KICK,15,1.0000,5,0.9967,0.2669
ER_p06,WATCHDOG,15,1.0000,7,0.9950,0.2462
ER_p06,HASARD,15,0.2500,1,1.0000,0.3031
ER_p06,ATTRACTIF,15,0.5000,2,1.0000,0.3619
ER_p06,BICAMERAL,16,1.0000,2,0.9992,0.1748
ER_p06,BICAMERAL_KICK,16,1.0000,8,0.9942,0.3021
ER_p06,WATCHDOG,16,1.0000,10,0.9908,0.3138
ER_p06,HASARD,16,0.1667,1,1.0000,0.3228
ER_p06,ATTRACTIF,16,0.5000,4,0.9967,0.4133
ER_p06,BICAMERAL,17,1.0000,2,1.0000,0.1812
ER_p06,BICAMERAL_KICK,17,1.0000,10,0.9917,0.3463
ER_p06,WATCHDOG,17,1.0000,6,0.9950,0.2905
ER_p06,HASARD,17,0.5000,1,1.0000,0.3382
ER_p06,ATTRACTIF,17,0.5000,2,0.9983,0.3251
ER_p06,BICAMERAL,18,1.0000,2,0.9992,0.1589
ER_p06,BICAMERAL_KICK,18,1.0000,3,0.9983,0.1985
ER_p06,WATCHDOG,18,1.0000,3,0.9983,0.1968
ER_p06,HASARD,18,0.4167,1,0.9992,0.3312
ER_p06,ATTRACTIF,18,0.5000,1,1.0000,0.3327
ER_p06,BICAMERAL,19,1.0000,4,0.9992,0.2566
ER_p06,BICAMERAL_KICK,19,1.0000,7,0.9942,0.3521
ER_p06,WATCHDOG,19,1.0000,11,0.9950,0.3863
ER_p06,HASARD,19,0.0833,1,1.0000,0.2801
ER_p06,ATTRACTIF,19,0.4167,2,0.9992,0.3721
ER_p06,BICAMERAL,20,1.0000,3,0.9983,0.1610
ER_p06,BICAMERAL_KICK,20,1.0000,6,0.9967,0.2423
ER_p06,WATCHDOG,20,1.0000,8,0.9942,0.3207
ER_p06,HASARD,20,0.1667,1,1.0000,0.2997
ER_p06,ATTRACTIF,20,0.4167,2,0.9992,0.4509
ER_p06,BICAMERAL,21,1.0000,1,1.0000,0.1558
ER_p06,BICAMERAL_KICK,21,1.0000,6,0.9942,0.3375
ER_p06,WATCHDOG,21,1.0000,6,0.9975,0.2698
ER_p06,HASARD,21,0.4167,1,1.0000,0.3796
ER_p06,ATTRACTIF,21,0.5000,1,1.0000,0.3030
ER_p06,BICAMERAL,22,1.0000,2,0.9992,0.1835
ER_p06,BICAMERAL_KICK,22,1.0000,3,0.9983,0.1976
ER_p06,WATCHDOG,22,1.0000,2,1.0000,0.2128
ER_p06,HASARD,22,0.1667,1,0.9992,0.3069
