m,condition,s_sat,tau_mat,seed,h_cont,h_cog,sync
5,s1_tau3,1.0,3,314,3.2994657503196168,0.0,0.021683633377327302
5,s1_tau3,1.0,3,2024,3.252940918823746,0.0,0.0008673367921159714
5,s1_tau3,1.0,3,888,3.276729478210828,0.0,-0.0058263846592516875
5,s1_tau10,1.0,10,42,3.1911756373443554,0.0,-0.002308563829382119
5,s1_tau10,1.0,10,123,3.208188996509325,0.0,0.001919452476874356
5,s1_tau10,1.0,10,777,3.227994671061513,0.0,0.001393153101252216
5,s1_tau10,1.0,10,17,3.1536854153786416,0.0,-0.00440444783902541
5,s1_tau10,1.0,10,256,3.1309135675333626,0.0,0.003171285637502934
5,s1_tau10,1.0,10,1337,3.0655902802932142,0.0,-0.00017873881084361787
5,s1_tau10,1.0,10,99,3.124035772667162,0.0,0.008727219428237966
5,s1_tau10,1.0,10,314,3.3314226995198095,0.0,0.007694921475232603
5,s1_tau10,1.0,10,2024,3.2715023457411183,0.0,0.0009266953250519667
5,s1_tau10,1.0,10,888,3.248659758782554,0.0,0.006795220969583048
5,s1_tau30,1.0,30,42,3.1834937036567847,0.0,-0.004923535788160629
5,s1_tau30,1.0,30,123,3.2093973036795456,0.0,-0.0030291693173893955
5,s1_tau30,1.0,30,777,3.3003797602093004,0.0,0.009794200648957087
5,s1_tau30,1.0,30,17,3.12289363920606,0.0,-0.004376784856697647
5,s1_tau30,1.0,30,256,3.264475725353994,0.0,-0.0046848849390363845
5,s1_tau30,1.0,30,1337,3.082371205675306,0.0,-0.005274961577646042
5,s1_tau30,1.0,30,99,3.1338606901235204,0.0,-0.0017932460457212702
5,s1_tau30,1.0,30,314,3.2606102267652015,0.0,0.004523783534113098
5,s1_tau30,1.0,30,2024,3.272403624425609,0.0,-0.002225476780183396
5,s1_tau30,1.0,30,888,3.1800572091287904,0.0,-0.00391880215047948
5,s1_tau100,1.0,100,42,3.209298949599075,0.0,-0.0008554813848706029
5,s1_tau100,1.0,100,123,3.191645723255353,0.0,-0.0010783167984616286
5,s1_tau100,1.0,100,777,3.1983983928286754,0.0,0.0025846603872380857
5,s1_tau100,1.0,100,17,3.1400741831951327,0.0,0.005446726659815304
5,s1_tau100,1.0,100,256,3.144704298946336,0.0,0.003080246341771345
