m,nu,ablation,elapsed_hours,seed,h_cont,h_cog,sync
3,0.1,FROZEN_U,1000,2024,4.713626910608168,1.3594067772210026,0.3007866374848851
3,0.1,FROZEN_U,1000,888,4.552519938849538,1.2000857659839483,0.47184948692470957
3,0.1,FROZEN_U,10000,42,4.826292596195301,1.4048987897520537,0.2719134801265491
3,0.1,FROZEN_U,10000,123,4.717845938497626,1.3407018217475892,0.3186180477481313
3,0.1,FROZEN_U,10000,777,4.8752698668180035,1.4866250294560022,0.2126674494077518
3,0.1,FROZEN_U,10000,17,4.603144509719334,1.2811295764932908,0.32834733507469493
3,0.1,FROZEN_U,10000,256,4.542615471517812,1.2127503431393616,0.45382192508504327
3,0.1,FROZEN_U,10000,1337,4.860763926515433,1.4712697785195066,0.20178853547801504
3,0.1,FROZEN_U,10000,99,4.910570337630496,1.4775245554853345,0.2143186467882057
3,0.1,FROZEN_U,10000,314,4.606042496367278,1.2398787060036243,0.41601014075149534
3,0.1,FROZEN_U,10000,2024,4.633645322786828,1.2932400382869647,0.3517901022563608
3,0.1,FROZEN_U,10000,888,4.62489510103634,1.257237373243924,0.4025628730306613
3,0.1,FROZEN_U,100000,42,4.861849009022563,1.4300642884545902,0.2361177777090544
3,0.1,FROZEN_U,100000,123,4.7165771836224515,1.3521709174707182,0.26786314487053103
3,0.1,FROZEN_U,100000,777,4.88826726237058,1.4652711956430238,0.24157470596212766
3,0.1,FROZEN_U,100000,17,4.8901460244163495,1.471296335345822,0.1885408386782327
3,0.1,FROZEN_U,100000,256,4.7494866606951005,1.3373058728528573,0.31622515024334413
3,0.1,FROZEN_U,100000,1337,4.622077038343519,1.3221134118177433,0.28563474042971027
3,0.1,FROZEN_U,100000,99,4.698887960633774,1.3082019719935882,0.336580600183486
3,0.1,FROZEN_U,100000,314,4.918411871563924,1.473851093523357,0.19907533300941305
3,0.1,FROZEN_U,100000,2024,4.836290977275731,1.4783930006697579,0.1742154698616353
3,0.1,FROZEN_U,100000,888,4.832650319814751,1.436425395897907,0.18028394239171874
