base_topo,family,oracle,c_doubt,c_conv
ER_p06,TOPOLOGIE,1057,2000,81
ER_p06,TOPOLOGIE,2000,265,111
ER_p06,EVIDENCE,1332,128,81
ER_p06,EVIDENCE,944,133,81
ER_p06,EVIDENCE,432,164,81
ER_p06,TOPOLOGIE,1174,476,169
ER_p06,CONTRADICTION,1657,156,133
ER_p06,TOPOLOGIE,1,179,81
ER_p06,EVIDENCE,2000,127,81
ER_p06,CONTRADICTION,2000,157,81
ER_p06,EVIDENCE,2000,150,81
ER_p06,CONTRADICTION,813,164,81
ER_p06,EVIDENCE,768,171,102
ER_p06,TOPOLOGIE,860,170,95
ER_p06,CONTRADICTION,862,308,121
ER_p06,TOPOLOGIE,2000,283,86
ER_p06,EVIDENCE,2000,130,81
ER_p06,TOPOLOGIE,1808,2000,103
ER_p06,CONTRADICTION,2000,612,139
ER_p06,TOPOLOGIE,1,183,130
ER_p06,TOPOLOGIE,2000,253,112
ER_p06,CONTRADICTION,2000,802,81
ER_p06,EVIDENCE,1107,160,102
ER_p06,TOPOLOGIE,1,197,194
ER_p06,CONTRADICTION,1919,291,81
ER_p06,EVIDENCE,1436,166,81
ER_p06,EVIDENCE,1012,145,81
ER_p06,CONTRADICTION,2000,555,87
ER_p06,CONTRADICTION,2000,142,102
ER_p06,EVIDENCE,669,146,115
ER_p06,CONTRADICTION,1804,428,198
ER_p06,TOPOLOGIE,1573,151,81
ER_p06,EVIDENCE,2000,129,81
ER_p06,CONTRADICTION,2000,323,136
ER_p06,EVIDENCE,739,141,112
ER_p06,CONTRADICTION,2000,629,132
ER_p06,TOPOLOGIE,1991,2000,109
ER_p06,TOPOLOGIE,1320,295,166
ER_p06,EVIDENCE,1594,150,81
ER_p06,TOPOLOGIE,1,171,96
ER_p06,TOPOLOGIE,1,177,81
ER_p06,EVIDENCE,1904,143,81
ER_p06,CONTRADICTION,760,791,159
ER_p06,TOPOLOGIE,2000,298,139
ER_p06,EVIDENCE,1967,155,81
ER_p06,CONTRADICTION,1932,611,107
ER_p06,EVIDENCE,786,152,102
ER_p06,EVIDENCE,1494,147,94
ER_p06,TOPOLOGIE,1,178,81
ER_p06,TOPOLOGIE,1884,2000,91
ER_p06,CONTRADICTION,2000,1180,81
ER_p06,CONTRADICTION,2000,513,114
ER_p06,EVIDENCE,1539,163,81
ER_p06,CONTRADICTION,1700,365,176
ER_p06,CONTRADICTION,1851,839,81
ER_p06,CONTRADICTION,2000,681,140
ER_p06,EVIDENCE,2000,142,81
ER_p06,TOPOLOGIE,1,175,133
ER_p06,CONTRADICTION,2000,707,155
ER_p06,EVIDENCE,2000,125,81
ER_p06,TOPOLOGIE,2000,288,124
ER_p06,EVIDENCE,2000,130,81
ER_p06,TOPOLOGIE,2000,300,148
ER_p06,TOPOLOGIE,2000,283,195
ER_p06,EVIDENCE,1954,143,81
ER_p06,EVIDENCE,2000,145,92
ER_p06,TOPOLOGIE,2000,340,92
ER_p06,CONTRADICTION,2000,426,107
ER_p06,TOPOLOGIE,1367,168,82
ER_p06,EVIDENCE,2000,152,94
ER_p06,EVIDENCE,822,145,81
ER_p06,CONTRADICTION,2000,624,145
ER_p06,TOPOLOGIE,1782,160,117
ER_p06,CONTRADICTION,2000,514,151
ER_p06,CONTRADICTION,2000,400,127
ER_p06,TOPOLOGIE,1540,164,81
ER_p06,EVIDENCE,677,144,81
ER_p06,EVIDENCE,1935,146,81
ER_p06,CONTRADICTION,2000,655,151
ER_p06,CONTRADICTION,2000,478,198
ER_p06,TOPOLOGIE,1032,2000,107
ER_p06,TOPOLOGIE,1819,160,130
ER_p06,EVIDENCE,2000,134,83
