N,m,seed,D,lambda2,H_cont,H_cont_std,sync,u_mean,u_std
100,3,17,0.5,1.3593410636842016,3.0680473103777293,1.0321059624188156,-0.0029740142705004364,0.9948430277436622,0.05131122608563519
100,3,42,0.5,1.4121160316017192,3.317082879037706,1.413180459698485,0.011123673402082635,1.0,0.0
100,3,777,0.5,1.4678200272247544,2.1257423867262752,1.2669961459567003,0.009359053687949167,1.0,0.0
100,3,256,0.5,1.4258393161444245,2.916054114429447,1.4467779935645046,0.017432721454652567,1.0,0.0
100,4,123,0.5,2.0812888794442292,1.9349631450071438,1.3382276490127067,-0.007504864042680857,1.0,0.0
100,4,17,0.5,2.1073420406252428,1.1629077980717368,1.381676959218366,-0.004993647140031517,1.0,0.0
100,4,42,0.5,2.1120905975510933,1.729198903490134,1.6030325456992416,-0.0031093069714027747,1.0,0.0
100,4,777,0.5,2.286408935270917,1.2159341172206373,1.0979401032589058,-0.0009838303170451239,1.0,0.0
100,4,256,0.5,2.3222345312129327,1.6864152946515643,1.1772254013082275,-0.004838205116497745,1.0,0.0
100,5,123,0.5,3.047942285947553,0.2225333290664085,0.5216679914454123,-0.0008717701105453966,1.0,0.0
100,5,42,0.5,2.9891365306319644,0.22459449170849374,0.4795016078999669,-7.201762523961174e-05,1.0,0.0
100,5,777,0.5,3.0341641685803475,0.15255539169118598,0.3984981594208244,-0.007290995447822683,1.0,0.0
100,5,17,0.5,1.83482240828564,0.14837895002019238,0.39028535559804006,-0.00761454258841197,1.0,0.0
100,5,256,0.5,3.075229235728294,0.13784962500721157,0.3579365057832098,-0.008172496477664685,1.0,0.0
100,6,17,0.5,2.70669811162169,0.0,0.0,-0.00795533252661616,1.0,0.0
100,6,123,0.5,3.8374735994814047,0.0,0.0,-0.006821925285662732,1.0,0.0
100,6,777,0.5,2.834148750414023,0.014,0.11749042514179613,-0.00468062846385399,1.0,0.0
100,6,42,0.5,3.9159484098469934,0.0,0.0,-0.008775590048061613,1.0,0.0
100,6,256,0.5,0.9879933842714383,0.0,0.0,-0.008242447338668305,1.0,0.0
100,7,42,0.5,4.578134877191264,0.0,0.0,-0.00814276511046948,1.0,0.0
100,7,123,0.5,4.853223764205818,0.0,0.0,-0.007417208918800519,1.0,0.0
100,7,777,0.5,4.908522986970133,0.0,0.0,-0.00690234241301452,1.0,0.0
100,7,17,0.5,4.673426741487235,0.0,0.0,-0.005786221652466774,1.0,0.0
100,7,256,0.5,0.9861698331320822,0.0,0.0,-0.008478099405708405,1.0,0.0
100,8,777,0.5,2.9236624944088945,0.0,0.0,-0.007212038200685403,1.0,0.0
100,8,17,0.5,5.690440740823568,0.0,0.0,-0.008505419248009896,1.0,0.0
100,8,42,0.5,5.659545229786224,0.0,0.0,-0.008209088452620479,1.0,0.0
100,8,123,0.5,5.763130291633553,0.0,0.0,-0.009090083611141792,1.0,0.0
100,8,256,0.5,5.671860357850125,0.0,0.0,-0.008127930228930751,1.0,0.0
