kind,seed,rule,param,stop_iter,success,network_node_steps
trap,1,M4R_U,(10; 0.5),2000,1,2000000
trap,1,M4R_SIG,(10; 0.5),20,0,20000
trap,1,M4R_U,(10; 0.7),1763,1,1763000
trap,1,M4R_SIG,(10; 0.7),20,0,20000
trap,2,TOL,0.02,17,0,0
trap,2,TOL,0.01,18,0,0
trap,2,TOL,0.005,21,0,0
trap,2,TOL,0.002,28,0,0
trap,2,PATIENCE,50,96,0,0
trap,2,PATIENCE,100,146,0,0
trap,2,PATIENCE,200,247,0,0
trap,2,PATIENCE,400,1122,0,0
trap,2,PATIENCE,800,1124,0,0
trap,2,PATIENCE,1600,2000,1,0
trap,2,FIXED,200,200,0,0
trap,2,FIXED,400,400,0,0
trap,2,FIXED,600,600,0,0
trap,2,FIXED,800,800,0,0
trap,2,FIXED,1000,1000,0,0
trap,2,FIXED,1200,1200,0,0
trap,2,FIXED,1400,1400,1,0
trap,2,FIXED,1600,1600,1,0
trap,2,FIXED,1800,1800,1,0
trap,2,FIXED,2000,2000,1,0
trap,2,M4R_U,(2; 0.3),2000,1,400000
trap,2,M4R_SIG,(2; 0.3),80,0,16000
trap,2,M4R_U,(2; 0.5),2000,1,400000
trap,2,M4R_SIG,(2; 0.5),64,0,12800
trap,2,M4R_U,(2; 0.7),2000,1,400000
trap,2,M4R_SIG,(2; 0.7),43,0,8600
trap,2,M4R_U,(5; 0.3),2000,1,1000000
trap,2,M4R_SIG,(5; 0.3),30,0,15000
trap,2,M4R_U,(5; 0.5),2000,1,1000000
trap,2,M4R_SIG,(5; 0.5),25,0,12500
trap,2,M4R_U,(5; 0.7),2000,1,1000000
trap,2,M4R_SIG,(5; 0.7),21,0,10500
trap,2,M4R_U,(10; 0.3),2000,1,2000000
trap,2,M4R_SIG,(10; 0.3),20,0,20000
trap,2,M4R_U,(10; 0.5),2000,1,2000000
trap,2,M4R_SIG,(10; 0.5),20,0,20000
trap,2,M4R_U,(10; 0.7),2000,1,2000000
trap,2,M4R_SIG,(10; 0.7),20,0,20000
trap,3,TOL,0.02,11,0,0
trap,3,TOL,0.01,13,0,0
trap,3,TOL,0.005,15,0,0
trap,3,TOL,0.002,21,0,0
trap,3,PATIENCE,50,86,0,0
trap,3,PATIENCE,100,136,0,0
