topo,lambda2,sigma,h_cog_mean,h_cog_std,h_cont_mean,h_cont_std,lz_mean,lz_std,sync_mean,sync_std
BA_m3,1.412558694605543,0.03,0.015063756582309582,0.004977410654323528,3.100050160380332,0.08061332545705384,0.8330002534721346,0.13315875706226157,0.11484637967692367,0.034318170953440356
BA_m3,1.412558694605543,0.07,0.0062843777227839905,0.00201583434557328,3.06316838002907,0.07376381460281982,0.8711933053007419,0.04997201967998225,0.12464787404060158,0.02174155563663745
BA_m3,1.412558694605543,0.15,0.01268844898022859,0.004240062188950627,3.1721387016962104,0.04664381854557292,0.8722379015900712,0.12222700755663898,0.1035254225909696,0.016859848384474536
BA_m3,1.412558694605543,0.3,0.01210842521491643,0.0015743988140624404,3.2850636551738837,0.021817802477592924,0.9874699297567231,0.2612663019536897,0.09685850056097356,0.0525337243398594
BA_m3,1.412558694605543,0.5,0.04058666756519183,0.0055468066693872995,3.5655710815166928,0.017741387268861094,0.9056649828486129,0.24759178787566616,0.061410886092640615,0.02461968769965987
BA_m3,1.412558694605543,0.8,0.11854237540803418,0.009805092598224183,3.942650814528766,0.022397469688015183,0.9442497582857182,0.11446520881488181,0.028590028623319403,0.005624704433916265
BA_m3,1.412558694605543,1.2,0.264523020598825,0.008281708329355403,4.314546616007809,0.014670902840682721,1.1604811901769096,0.049686656513180966,0.013279967365633824,0.006079391872734879
BA_m5,2.989937008002745,0.0,0.0,0.0,2.5453935006044777,0.07551956455035692,0.8725643379304868,0.0756082377882039,0.12687472042680356,0.02324275037161947
BA_m5,2.989937008002745,0.01,0.0,0.0,2.607109071745892,0.10068707399858083,0.7841000896779008,0.022745469547069658,0.05766030806058026,0.03339507134502122
BA_m5,2.989937008002745,0.03,0.0,0.0,2.5828808120970805,0.06687496016780947,0.7777019374057578,0.020408720638697902,0.09987477606596988,0.04478191659943612
BA_m5,2.989937008002745,0.07,0.0,0.0,2.543617360916216,0.11396021402980086,0.820203948927849,0.012254891516729743,0.1506113350667481,0.027002436913242705
BA_m5,2.989937008002745,0.15,0.0,0.0,2.587472866609971,0.081552429694004,0.8851647806705228,0.02456033788608798,0.09274663715423802,0.026040807951357152
