i_stim,u_frozen,u_filter,group,seed,synchrony,lz_full,u_drift
0.10,0.450,0.165800,repli,3043,0.0233783756,1.4359288615,0.000e+00
0.10,0.450,0.165800,repli,3044,0.0604204264,1.4647297269,0.000e+00
0.10,0.450,0.165800,repli,3045,0.0328854568,1.4554037324,0.000e+00
0.10,0.450,0.165800,repli,3046,0.0557782200,1.4474492077,0.000e+00
0.10,0.450,0.165800,repli,3047,0.0366786297,1.4644554330,0.000e+00
0.10,0.450,0.165800,repli,3048,0.0437303730,1.4743300154,0.000e+00
0.10,0.450,0.165800,repli,3049,0.0667412785,1.4452548560,0.000e+00
0.10,0.450,0.165800,repli,3050,0.1290981058,1.4474492077,0.000e+00
0.10,0.500,0.010000,repli,3041,0.0108861829,1.4715870758,0.000e+00
0.10,0.500,0.010000,repli,3042,-0.0157621318,1.4650040209,0.000e+00
0.10,0.500,0.010000,repli,3043,-0.0011534394,1.4488206774,0.000e+00
0.10,0.500,0.010000,repli,3044,0.0108489514,1.4628096692,0.000e+00
0.10,0.500,0.010000,repli,3045,0.0145584091,1.4622610813,0.000e+00
0.10,0.500,0.010000,repli,3046,0.0353405044,1.4501921472,0.000e+00
0.10,0.500,0.010000,repli,3047,-0.0006588870,1.4781701308,0.000e+00
0.10,0.500,0.010000,repli,3048,0.0082948737,1.4844788918,0.000e+00
0.10,0.500,0.010000,repli,3049,-0.0105594754,1.4592438478,0.000e+00
0.10,0.500,0.010000,repli,3050,0.0120142101,1.4460777379,0.000e+00
0.10,0.550,-0.145800,repli,3041,0.0156975256,1.4828331280,0.000e+00
0.10,0.550,-0.145800,repli,3042,0.0026871966,1.4751528972,0.000e+00
0.10,0.550,-0.145800,repli,3043,-0.0033069090,1.4691184302,0.000e+00
0.10,0.550,-0.145800,repli,3044,-0.0015844824,1.4721356637,0.000e+00
0.10,0.550,-0.145800,repli,3045,0.0094186704,1.4795416006,0.000e+00
0.10,0.550,-0.145800,repli,3046,0.0278784871,1.4639068450,0.000e+00
0.10,0.550,-0.145800,repli,3047,-0.0084294422,1.4661011967,0.000e+00
0.10,0.550,-0.145800,repli,3048,0.0133744839,1.4737814275,0.000e+00
0.10,0.550,-0.145800,repli,3049,0.0039312393,1.4688441363,0.000e+00
0.10,0.550,-0.145800,repli,3050,0.0132617723,1.4534836747,0.000e+00
0.10,0.650,-0.429200,repli,3041,0.0049669594,1.3242912213,0.000e+00
0.10,0.650,-0.429200,repli,3042,0.0045451558,1.3009762350,0.000e+00
0.10,0.650,-0.429200,repli,3043,-0.0042188661,1.2255453970,0.000e+00
0.10,0.650,-0.429200,repli,3044,-0.0008328602,1.3050906443,0.000e+00
0.10,0.650,-0.429200,repli,3045,0.0132257591,1.1001930589,0.000e+00
0.10,0.650,-0.429200,repli,3046,0.0071815807,1.1270738666,0.000e+00
0.10,0.650,-0.429200,repli,3047,0.0033222293,1.3681782543,0.000e+00
0.10,0.650,-0.429200,repli,3048,0.0013725762,1.1078732897,0.000e+00
0.10,0.650,-0.429200,repli,3049,-0.0000103188,1.2079905838,0.000e+00
0.10,0.650,-0.429200,repli,3050,0.0015752924,1.2249968091,0.000e+00
0.10,0.800,-0.726359,repli,3041,0.0037987816,1.3166109905,0.000e+00
0.10,0.800,-0.726359,repli,3042,0.0048971566,1.3267598669,0.000e+00
0.10,0.800,-0.726359,repli,3043,-0.0085469056,1.2666894904,0.000e+00
0.10,0.800,-0.726359,repli,3044,-0.0016910214,1.3585779658,0.000e+00
0.10,0.800,-0.726359,repli,3045,0.0110493021,1.1490173831,0.000e+00
0.10,0.800,-0.726359,repli,3046,0.0069685340,1.0796210122,0.000e+00
0.10,0.800,-0.726359,repli,3047,-0.0002983113,1.3528177927,0.000e+00
0.10,0.800,-0.726359,repli,3048,0.0020348349,1.2079905838,0.000e+00
0.10,0.800,-0.726359,repli,3049,-0.0002696865,1.1196679298,0.000e+00
0.10,0.800,-0.726359,repli,3050,0.0001753196,1.1443543859,0.000e+00
0.10,0.950,-0.878281,repli,3041,-0.0021228495,1.4307172763,0.000e+00
0.10,0.950,-0.878281,repli,3042,0.0123880317,1.3695497241,0.000e+00
0.10,0.950,-0.878281,repli,3043,-0.0091212799,1.2842443036,0.000e+00
0.10,0.950,-0.878281,repli,3044,-0.0147430050,1.3618694933,0.000e+00
0.10,0.950,-0.878281,repli,3045,0.0030894839,1.1865956552,0.000e+00
0.10,0.950,-0.878281,repli,3046,0.0004843390,1.1394170947,0.000e+00
